
Indicatif présent
Premier groupe

abiter
P6	avenoient (1)

avoiier
P3	avoie (1)

avoir
P1	avoie (12)
P2	avoies (3)
P3	avoit (802)
P4	avions (3)
P5	aviez (2)
P6	avoient (191)

baisier
P3	besoit (1), baisoit (1)

batre
P3	batoit (1)
P6	batoient (1)

benëir
P6	beneïssoient (1)

blandir
P6	blandissoient (1)

blasmer
P3	blasmoit (5)

boivre
P3	bevoit (2)

bëer
P3	baoit (2)

celebrer
P3	celebroit (1)

celer1
P6	celebroient (1)

cesser
P3	cessoit (2)

chacier
P3	chaçoit (2)

chanter
P3	chantoit (6)
P6	chantoient (4)

chastiier
P3	chastioit (1)
P6	chastioient (1)

chëoir
P3	chaoit (1)
P6	cheoient (1)

cliner
P3	clinoit (1)

clochier2
P3	clochoit (2)

comander
P3	conmandoit (2), comandoit (1)

combatre
P3	combatoit (2)

comencier
P3	coumençoit (1), començoit (1)
P6	començoient (1)

complaindre
P3	complegnoit (1)
P6	compleignoient (1), complegnoient (1)

comporter
P6	comportoient (2)

conforter
P3	confortoit (1)
P6	confortoient (1)

conoistre
P1	conois (1)
P2	conois (1)
P3	conoissoit (9), connissoit (1)
P6	conoissoient (2), conissoient (1)

consentir
P3	consentist (1)

constreindre
P3	constreignoit (1)

conter
P3	contoit (6)

converser
P3	conversoit (2)

convertir
P3	convertissoit (1)
P6	convertissoient (1)

corcier
P3	corçoit (1)

corir
P3	coroit (8), couroit (1)

corrocier
P3	corroçoit (1)

couchier
P3	couchoit (1)

covenir
P3	covenoit (7)
P6	covenoient (1)

covoitier
P3	covoitoit (3)

covrir
P3	covroit (1)
P6	covroient (2)

criembre
P3	cremoit (4)
P6	cremoient (2)

croire
P3	creoit (4)
P6	creoient (8)

croissir
P3	croissoit (4)

croistre
P6	croissoient (1)

croler
P3	crolloit (1)

crïer2
P3	crioit (5), creoit (1)
P6	crioient (8)

cuidier1
P1	cuidoie (1)
P3	cuidoit (16)
P5	cuidiez (1)
P6	cuidoient (13)

curer
P3	curoit (2)

damner
P4	dampnions (1)

decorir
P3	decoroit (1)
P6	decoroient (2)

defaillir
P3	defailloit (2)

defendre
P1	desfendoie (1)
P3	deffendra (1)
P6	desfendoient (1)

defroissier
P3	defroissoit (1)

degaber
P3	degaboit (1)

deguerpir
P2	deguerpesis (1)
P3	deguerpissoit (4), deguerpisist (1)
P6	deguerpissoient (2)

deignier
P3	deignoit (1)

delaissier
P2	delessoies (1)
P3	delessoit (1)

demander
P3	demandoit (6)

demener
P3	demenoit (8)
P6	demenoient (11)

demorer
P2	demoroies (1)
P3	demoroit (2)
P6	demoroient (1)

demostrer
P3	demostroit (3), demostroit﻿ (1)

denoiier
P3	denioit (1)

departir
P3	departoit (4)
P6	departoient (1)

depecier
P6	depeçoient (1)

dependre
P6	dependoient (1)

descendre
P3	descendoit (1)
P6	descendoient (3)

descirier
P3	desciroit (1)
P6	desciroient (1)

descorder1
P6	descordoient (1)

descovrir
P2	descovriez (1)

desirrer
P3	desirroit (2)
