
Graphie de eau :
lemme : aigue	Nombres d'occurrences : 55
esgardasse	1
esgardassent	1
esgarde	1
esgardee	1
esgarder	14
esgarderent	2
esgarderons	1
esgardes	1
esgardez	2
esgardé	2
esgardions	1
esgardissions	1
esgardoient	6

Lemme : esmerveillable	2	2
esmerveillable	1
esmerveillables	1

Lemme : esmerveillier	30	2
esmerveil	3
esmerveilla	6
esmerveillames	1
esmerveille	1
esmerveilles	1
esmerveillierent	5
esmerveilliez	3
esmerveillions	1
esmerveilloie	1
esmerveilloient	1
esmervella	1
esmervellier	1
esmervellierent	2
esmervelloient	2
esmervelloit	1

Lemme : espandre	10	1
espandi	1
espandre	1
espandue	4
espanduz	2
espant	1
esparse	1

Lemme : esperdre	2	2
esperdu	2

Lemme : estorbeillon	1	1
estorbellons	1

Lemme : estordir	1	1
estordiz	1

Lemme : marsdi	1	1
mardi	1

Lemme : paroisse	2	1
parosse	1
parroce	1

Lemme : rescorre	3	2
rescorre	2
rescous	1

Lemme : tresporter	2	1
tresportassent	1
tresportee	1

Lemme : trestorner	7	4
trestorner	2
trestorneroient	1
trestornes	1
trestorné	2
trestornoit	1



Les liquides
§55 rl passe à ll assimilation

Mot	Nombres d'occurrences total	Nombre d'occurrences


r parasite ?

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : ame	45	7
ame	31
ames	7
arme	7

Lemme : apostle	29	28
apostles	1
apostre	10
apostres	18

Lemme : conte2	3	1
conte	2
conteret	1

Lemme : dïacne	6	6
diacres	1
dyacres	5

Lemme : escandle	1	1
escandres	1

Lemme : idle	23	20
ydes	1
ydole	1
ydoles	1
ydre	9
ydres	11


Grapihe de tristesse
lemme : tristece	Nombres d'occurrences : 8
tristece	3
tristrece	4
tristreces	1


labdacisme ?

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : celer1	15	1
cela	3
celebroient	1
celee	4
celees	1
celer	5
celé	1



