plusor	142	pluiseur	15	pluiseurs	81	pluisor	8	pluisors	24	pluseur	1	pluseurs	12	plusors	1																																																																																																												
por2	848	Por	838	pour	10																																																																																																																						
procurëor	1	procureres	1																																																																																																																								
prïor	7	prieur	2	prieurs	3	prieus	2																																																																																																																				
pëor	51	paor	1	peor	1	periuz	1	poor	43	poors	1	poour	1	pueur	1	pueurs	1	timebo	1																																																																																																								
resplendissor	3	resplendisseur	3																																																																																																																								
resplendor	1	resplendeur	1																																																																																																																								
robëor	3	robeeur	1	robeor	1	robeors	1																																																																																																																				
sagremor	1	sicamor	1																																																																																																																								
sauvëor	4	Salveor	1	Sauveor	1	sauveres	2																																																																																																																				
savor	2	saveur	1	savor	1																																																																																																																						
secor	1	secorre	1																																																																																																																								
seignor	775	Segnor	2	Seigneur	1	Seignor	15	Signeur	13	Signor	404	Signour	3	Sires	147	mesires	1	messires	29	monsigneur	71	monsignor	20	seignors	2	signeurs	1	signors	8	sire	58																																																																																												
sejor	1	sejor	1																																																																																																																								
seror	6	sereur	1	seror	2	suer	2	suers	1																																																																																																																		
servitor	1	servitoirs	1																																																																																																																								
sor2	138	seu	1	seur	73	seure	4	sor	56	sour	4																																																																																																																
süor1	1	sueur	1																																																																																																																								
tor2	3	tor	3																																																																																																																								
tor4	1	tors	1																																																																																																																								
tresor	5	tresor	4	tresors	1																																																																																																																						
träitor	1	traïteur	1																																																																																																																								
valor	1	valors	1																																																																																																																								
vendëor	1	venderres	1																																																																																																																								
venëor	8	veneor	1	veneors	7																																																																																																																						
verdor	1	verdeur	1																																																																																																																								
																																																																																																																											
																																																																																																																											
O fermé sous l’influence de yod > oi, o pic.																																																																																																																											
Amboise	1	Embaise	1																																																																																																																								
Gascoigne	4	Gascogne	1	Gascoigne	3																																																																																																																						
Honoire	3	Honoires	2	Honores	1																																																																																																																						
acoillir	4	acoilli	1	acuelli	1	acuellie	2																																																																																																																				
acroistre	4	acroistra	1	acrut	3																																																																																																																						
agenoillier	8	agenoilla	2	agenoilliez	1	ajenoilla	3	ajenoilliez	1	ajenolla	1																																																																																																																
ambroise	4	Ambrose	1	Ambroses	3																																																																																																																						
aparoir	36	aparanz	1	aparoient	1	aparoir	1	aparoit	3	aparu	2	aparurent	3	aparus	1	aparut	23	aparuz	1																																																																																																								
apercevoir	12	apercevoir	1	apercevoit	1	aperceü	1	aperceüe	1	aperceüs	1	aperceüssent	1	aperçoivre	1	aperçurent	1	aperçut	4																																																																																																								
apostoile	13	apostoile	2	apostoiles	9	apostole	2																																																																																																																				
aproismier	19	apresser	1	aproisma	5	aproismast	1	aproisme	1	aproismier	8	aproismierent	3																																																																																																														
asseoir	25	asistrent	1	asseoir	2	asseoit	2	asseïmes	2	assis	8	assise	4	assises	3	assist	1	assistrent	2																																																																																																								
avoine	1	avaines	1																																																																																																																								
avoir	1960	Aies	1	Averont	1	Avoir	1	Avons	1	a	85	aeurent	1	ai	107	aidié	2	aie	2	aient	3	aies	9	aiez	6	aions	5	ait	14	as	55	aura	5	aurai	3	auras	1	aurez	1	aurions	1	auroient	3	auroies	1	auroit	14	auroiz	2	auront	5	averoit	3	averont	1	avez	29	aviez	2	avions	3	avoie	12	avoient	191	avoies	3	avoir	99	avoirs	13	avoit	802	avom	1	avons	23	ei	1	eu	1	eurent	1	eust	1	eut	1	euïst	3	eü	7	eüe	6	eües	2	eümes	6	eüsmes	1	eüsse	2	eüssent	12	eüsses	1	eüssiez	1	eüst	48	eüstes	1	eüt	1	oi	7	ont	47	orent	58	ot	240	out	1
boivre	23	beverai	1	beveroit	1	bevoit	2	beü	2	beüst	1	beüstes	1	boivent	1	boives	1	boivre	8	boivres	2	but	3																																																																																																				
chamoil	12	chamel	5	chameus	7																																																																																																																						
chandoile	2	chandele	1	chaudele	1																																																																																																																						
