
Dissibilation du -r- 

Mot	Nombres d'occurrences total	Nombre d'occurrences
dei	1	
pax	1	
vobis	1	
ecce	1	
ego	1	
vobiscum	1	
sum	1	
omnibus	1	
diebus	1	
usque	1	
consummationem	1	
seculi	1	
euntes	1	
mundum	1	
universum	1	
predicate	1	
euvangelium	1	
creature	1	
qui	1	
crediderit	1	
baptizatus	1	
salvus	1	
erit	1	
qi	1	
vero	1	
credidit	1	
condenpnabitur	1	
damerleà	1	
te	1	
speravi	1	
confundar	1	
eternum	1	
justicia	1	
libera	1	
eripe	1	
inclina	1	
aurem	1	
tuam	1	
salva	1	
esto	1	
michi	1	
deum	1	
protectorem	1	
domum	1	
refugii	1	
ut	1	
salvum	1	
facias	1	
propter	1	
nomen	1	
tuum	1	
deduces	1	
enutries	1	
manus	1	
commendo	1	
spiritum	1	
meum	1	
redemisti	1	
deus	1	
veritatis	1	
mn	1	
nn	1	
o	1	
pastor	1	
eterne	1	
-	1	
regnum	2	
fuerit	2	
ad	2	
non	2	
c	2	
orate	2	
hora	2	
tua	2	
nm	2	
mnn	2	
omni	3	
domine	3	
et	4	
mm	6	
in	8	
me	8	
Lemme : venir	611	3
viegnes	1	
viegne	1	
venoies	1	
viegniez	1	
vinrent	1	
viens	1	
vendra	2	
venions	2	
venistes	2	
vien	2	
venez	2	
vendront	2	
venues	3	
venisse	3	
vendrai	3	
vendras	3	
venis	3	
vienent	4	
vendroit	4	
venu	5	
ving	5	
venus	5	
vendroient	5	
venimes	6	
venissent	9	
vient	10	
venist	16	
venue	27	
venoient	29	
venoit	30	
venir	57	
venuz	58	
vindrent	75	
vint	233	
Lemme : plaindre	7	3
pleinstrent	1	
pleint	1	
pleindre	1	
plaigne	1	
pleinsist	1	
plaignoient	2	
Lemme : covenable	5	4
covegnables	1	
covenable	1	
couveignable	1	
covignable	2	
Lemme : complaindre	9	4
compleinstrent	1	
compleignoient	1	
complegnoient	1	
complegnoit	2	
compleindre	4	
Lemme : lointain	10	5
lonteines	1	
lontaine	1	
lointaine	1	
lontaignes	1	
lointaignes	1	
lontaines	2	
lonteignes	3	
Lemme : destreindre	13	8
destreins	1	
destreinz	1	
destreigniez	1	
destreindre	1	
destraignoit	2	
destreint	2	
destreignoit	5	
Lemme : moine1	93	16
moigne	7	
moignes	9	
moine	38	
moines	39	

gn, ng(n)

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : esloignier	5	1
eslongiés	1	
esloigniez	1	
esloingna	1	
esloignié	1	
eslongent	1	


chute de la voyelle intercalaire dans les groupes lr, ml, nr 
l(d/b)r
Mot	Nombres d'occurrences total	Nombre d'occurrences

Mot	Nombres d'occurrences total	Nombre d'occurrences
Aucune occurrences

n(d/b)r
Mot	Nombres d'occurrences total	Nombre d'occurrences
aprendre	13	apris	4	aprist	3	aprisses	1	aprendre	4	apristrent	1	
ataindre	2	ataignoient	1	ateins	1	
ateindre	1	ateinte	1	
atendre	25	atendi	3	atendoient	6	atendions	2	atendoit	3	atent	4	atendissent	1	ateindre	1	atendent	1	aten	1	atendre	1	atendrai	1	atenderai	1	
ceindre	2	chainte	1	ceinstrent	1	
complaindre	9	compleinstrent	1	compleindre	4	complegnoit	2	compleignoient	1	complegnoient	1	
confondre	3	confondus	1	confondre	1	confonduz	1	
constreindre	8	constreint	2	constreinz	1	constreinst	1	constrains	1	constreindre	1	constrainz	1	constreignoit	1	
defendre	14	desfendre	2	desfendoient	1	deffendu	1	desfendi	2	desfendu	1	desfendue	1	deffendist	1	deffendra	1	deffendat	1	deffende	1	deffendirent	1	desfendoie	1	
dependre	1	dependoient	1	
descendre	15	descendre	3	descendoient	3	desfendu	1	descenduz	1	descendissent	1	desfendera	1	descendirent	1	descendant	1	descendoit	1	descendi	1	descent	1	
desjoindre	1	desjoins	1	
despendre2	3	despendu	1	despendre	2	
destreindre	13	destreignoit	5	destraignoit	2	destreint	2	destreins	1	destreinz	1	destreigniez	1	destreindre	1	
emprendre	1	emprist	1	
enjoindre	2	enjoing	1	enjoint	1	
enoindre	1	enoinz	1	
enteindre	1	entiegent	1	
entendre	114	entendre	30	entent	7	entendoit	13	entendi	20	entendirent	3	entendez	14	entendent	4	entendue	4	entendist	5	entendu	3	entenderons	1	entendissent	1	entendie	1	entens	2	entendoient	2	entenz	1	entendus	1	entenderoit	1	entendans	1	
entreprendre	19	entrepris	16	entreprisse	2	entreprisses	1	
espandre	10	espandue	4	espanduz	2	espant	1	esparse	1	espandre	1	espandi	1	
espondre	1	esponst	1	
esprendre1	1	esprist	1	
esprendre2	15	esprise	1	esprist	2	espris	10	espristrent	1	espriz	1	
esteindre	3	esteinte	1	esteinst	1	esteindre	1	
estendre	15	estenduz	3	estendre	1	estendi	2	estendoit	1	estendu	2	estent	2	estendirent	1	estendues	1	estendue	2	
estreindre	4	estreindre	1	estreinz	1	estreinst	1	estreinstrent	1	
feindre	1	feinstrent	1	
fondre	3	fondre	2	fondi	1	
oindre	6	oinst	3	oigniez	1	oindre	1	oinz	1	
peindre1	2	painte	2	
pendre	9	pendoit	2	pendre	2	penduz	1	pendoient	1	pendi	2	pendirent	1	
plaindre	7	pleinstrent	1	plaignoient	2	pleint	1	pleindre	1	plaigne	1	pleinsist	1	
poindre	4	poindera	1	point	2	poinst	1	
prendre	214	pris	15	prist	87	prendre	26	prengent	2	prise	3	prendra	6	prenoient	2	pristrent	31	preïst	3	prendent	1	prisses	2	prent	3	preïsmes	1	prenderas	1	prenderoient	4	Pren	2	prendroit	1	prendrons	1	prenderoit	1	prendroient	2	prenez	1	pren	2	preïssent	2	prenge	2	prendoit	2	prenoit	2	proit	2	prises	2	preïstes	1	preerent	1	preigniez	1	preïs	1	Prenez	1	
rendre	107	rendre	19	rendue	9	rendi	30	rendist	7	rendes	4	renduz	4	rendirent	5	rent	5	rendoit	4	rendra	1	rendez	2	rendues	1	renderai	1	rendu	5	renç	4	Rent	3	rens	1	rendoient	1	rencheüz	1	
repondre	15	repondre	1	reponoient	1	reposte	5	repoz	1	repost	5	repostement	1	repondroit	1	
reprendre1	15	reprendre	3	reprenoit	3	repren	1	reprist	1	repris	3	repristrent	3	repartoit	1	
respondre1	129	respondi	97	respondoit	5	respondirent	17	respondu	2	respondre	5	respant	1	respandi	1	respons	1	
semondre	4	semondre	1	semons	2	semont	1	
sorprendre	5	sorprise	1	sourpris	2	seurpris	1	serviront	1	
sospendre	1	sospendi	1	
sosprendre	2	souspris	1	souprises	1	
tendre1	25	tendi	14	tendues	4	tendirent	4	tendist	1	tendoient	2	
vendre	9	vendoient	4	vendre	1	vendist	1	vendissent	1	vendi	2	
vendredi	2	venredi	2	

Mot	Nombres d'occurrences total	Nombre d'occurrences
Aucune occurrences
m(d/b)l
Mot	Nombres d'occurrences total	Nombre d'occurrences
embler	7	embler	1	emblees	2	emblé	2	embelir	1	embloit	1	
escandle	1	escandres	1	
umble	3	humles	2	humle	1	
umblement	6	humlement	6	

Mot	Nombres d'occurrences total	Nombre d'occurrences
Aucune occurrences


gn, ng(n)

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : engignior	1	1
engignieres	1	
Lemme : engignos	2	2
engigneus	2	
Lemme : engignier1	5	5
ensignier	1	
engignier	4	

ign-gn

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : ataindre	2	1
ataignoient	1	
ateins	1	
Lemme : baraing	1	1
brahaigne	1	
Lemme : plegement	1	1
pleignement	1	
Lemme : oindre	6	1
oigniez	1	
oindre	1	
oinz	1	
oinst	3	
Lemme : complaindre	9	1
compleinstrent	1	
compleignoient	1	
complegnoient	1	
complegnoit	2	
compleindre	4	
Lemme : prendre	214	1
prendent	1	
preïsmes	1	
prenderas	1	
prendroit	1	
prendrons	1	
prenderoit	1	
preïstes	1	
preerent	1	
preigniez	1	
preïs	1	
prengent	2	
prenoient	2	
prisses	2	
prendroient	2	
prenez	2	
preïssent	2	
prenge	2	
prendoit	2	
prenoit	2	
proit	2	
prises	2	
prise	3	
preïst	3	
prent	3	
prenderoient	4	
pren	4	
prendra	6	
pris	15	
prendre	26	
pristrent	31	
prist	87	
Lemme : ensivre1	27	1
ensivoient	1	
ensivir	1	
ensivissons	1	
ensivimes	1	
ensivissent	1	
ensivist	1	
ensivrre	1	
ensuire	1	
ensignoit	1	
ensivoit	1	
ensivroit	2	
ensivre	7	
ensivi	8	
Lemme : constreindre	8	1
constreinz	1	
constreinst	1	
constrains	1	
constreindre	1	
constrainz	1	
constreignoit	1	
constreint	2	
Lemme : regner	17	2
reigne	2	
regnes	2	
regne	13	
Lemme : plaindre	7	3
pleinstrent	1	
pleint	1	
pleindre	1	
plaigne	1	
pleinsist	1	
plaignoient	2	
Lemme : cologne	3	3
coloigne	3	
Lemme : covenable	5	3
covegnables	1	
covenable	1	
couveignable	1	
covignable	2	
Lemme : mortagne	3	3
morteigne	1	
mortaigne	2	
Lemme : regne	24	3
regnes	2	
reigne	3	
regne	19	
Lemme : espagne	4	4
espaigne	4	
Lemme : mençogne	4	4
mençoigne	1	
mençoignes	3	
Lemme : acompagnier	4	4
acompaignierent	1	
acompaigniés	1	
acompaigna	2	
Lemme : lointain	10	5
lonteines	1	
lontaine	1	
lointaine	1	
lontaignes	1	
lointaignes	1	
lontaines	2	
lonteignes	3	
Lemme : destreindre	13	8
destreins	1	
destreinz	1	
destreigniez	1	
destreindre	1	
destraignoit	2	
destreint	2	
destreignoit	5	
Lemme : champagne	9	9
champaignes	2	
champaigne	7	
Lemme : moine1	93	16
moigne	7	
moignes	9	
moine	38	
moines	39	
Lemme : compagnon	61	50
conpaignons	1	
compagnons	1	
compains	2	
compeinz	3	
compeins	5	
compaignons	23	
compaignon	26	
Lemme : compagnie	68	66
conpagnie	1	
conpaignies	1	
compaigniez	1	
compagnie	1	
compaignies	4	
conpaignie	5	
compaignie	55	

