Graphie du mot Dieu
Lemme : dieu	195
Deu	112
Dex	79
Diu	2
Dé	1
Deus	1

Graphie du mot lieu
Lemme : lieu	142
leu	95
leus	26
liu	13
lius	4
lieu	3
lieus	1

§10 Réduction de e ouvert libre en i
haitier	17	haitié haitiez hetiez hertie heitez heitié heitiez 
haucier	2	hauça 
herbergier	9	herberja herberga herbergier herberge herbergeroit herbergiez 
huchier1	4	huçoient hucier huçoit 
irier	2	iriés irié 
jugier	3	juchier juchiés juches 
justicier2	2	justicent justiçoit 
laidengier	13	laidengierent laidengoit laidengier laidengié ledengier leidenga laidenja leidengiez leidengoient laidengassent 
laienz	4	laienz leenz 
laiier2	2	leiras leiroit 
laissier	144	lessier lessa lessié lessoient leissoient lessoit lessast lessiez lessons lessierent lessai leissent let lessasent lessions lessissons lessassent lesseroient leissons lesses lest lai lessas Lessiez lessent lesseront lairons lesse lait lairoit laissai Lai lessie 
laschier	1	laschiés 
lechier	2	lechoit lesça 
lieu	142	liu leu lius leus lieu lieus 
lieue	21	luies liues liue 
liier3	16	lierent liés liiez lié lions lia liier liees 
lumiere	19	lumiere lumieres lumiere﻿ 
mangier	85	mengue mengié mengeroit mengier menja mengoie menjoient mengoient menjames menga mengierent mengoit mengiers menjoit mengiez mengerai mengerons menguce mengast mengastes mengassent menjuces mengeront 
matiere	2	matere 
menacier	2	manaces manace 
merveillier	1	merveil 
mieus	17	mielz mius miuz 
nagier	3	najoient nagant naja 
noiier2	3	noié noierent noia 
noncier1	17	nonça noncierent noncie noncié noncier nonçoit noncha 
oier	17	oïr oïes 
ondoiier	1	ondoioit 
otroiier	39	otroia otroier otroié otroit otroierent otroioies otroie otroïe otroiast otroiez otrierai otroions 
paiier	5	paier païe paié paiast paia 
pareillier1	1	pareillé 
parier	1	pardite 
partie	48	partie parties ﻿parties ﻿partie 
pechier	4	pecheroie pechié pechames 
peschier2	6	peschier peschoient peschié 
plegier	1	plaiés 
ploiier	3	ploier plaia ploïe 
porchacier	4	porchaça porchaceroient porchaçasses 
priier	163	proier proia pria prioit proi priierent priast proié prie pri priier proiasse proiés proierent proiast prioa proiez prions Proions proions proiassent prioient proie proioit proioient proiames prieur preïssons proierons proit prié priai 
prinseignier	4	presigniez presignier prensignast prensigniez 
profetisier	1	prophetiza 
proiier	3	prooient proioit 
prononcier	1	prononcié 
prëechier	40	preechier preeschier presçoie preechiez preescha preechoit preeschant preechant preechoient preechierent preecant preesche preeche preesce preeschoit preeschoient preeçoient prenderons preecier 
raiembre	1	reembre 
raplegier	1	raplegement 
rebaillier	1	rebailla 
recomencier	12	recomençoit recomencierent recoumença recomencier recomença recomant 
redrecier	2	redreça redreciez 
regaitier	1	regeta 
relaiier	1	releroiz 
renoncier	3	renoncier renoncierent renonça 
repairier	76	repairast repaira repairiez repaireroit repeirierent repairierent repeirames repairoient repeira reperier repairier repeire repeirier repaireras repairoit repairons repeiroient repera repairié re﻿pairierent reperiez reperierent reperoient repere reperoit 
resoignier	4	resoignoit resoigna resoigne resoignons 
sachier2	10	sachiez sachiés sache 
sechier	3	sechiee sechié sechie 
seignier	3	seigna seigne 
signier	2	segniez Seignes 
sisiesme	4	sisimes sisiesme sissieme sissime 
soshaucier	1	sozhauça 
targier1	1	tarjast 
targier2	3	targerai targes tarja 
tencier	5	tencierent tencier tenchier tencent 
tesmoignier	21	tiesmoigne tesmoignoient tesmoignierent tesmoigne tesmoignent tesmoignoit tesmoigneroit tesmoigneroient tesmoignera tesmoignes 
tochier	1	toucha 
traitier	3	tretié traitier treita 
travaillier	24	traveillierent traveilloient traveillier traveilliez traveilloit traveillie travaillent travelliez traveillié travaille traveillons 
trebuchier	5	trebuchant trebucierent trebuchast trebucha 
trenchier1	11	trencha trenchie trenchier trenchast trencherons 
trespercier	1	trespercerai 
turchier	1	Turs 
veillier2	5	veillast veillierent veillier voeille veillié 
vengier	3	vengier venge venga 
vieil	25	viel vius vielz viels viez 
voie	91	voie voies voi 
äie	39	aïde 
äirier	2	aïrié aïres 
çaienz	6	ceenz ceens 

§11 reduction de e ouvert > ie
Graphie du mot près
Lemme : près	49
pres	46
pries	3

Graphie du mot après
Lemme : après	176
Aprés	175
Apriés	1

Graphie du mot isnelement
Lemme : isnelement	26
isnelement	15
isnielement	11

Graphie du mot iver
Lemme : iver2	3
yvier	1
yver	1
ivier	1

Graphie du mot haitement
Lemme : haitement	2
heitiement	2

Graphie du mot nacele
Lemme : nacele	3
nacele	2
naciele	1

Graphie du mot novele
Lemme : novele	18
novele	9
noveles	8
noviele	1

Graphie du mot apeler
Lemme : apeler	108
apelez	40
apela	28
apelee	20
apeloit	6
apelé	3
apele	3
apelent	2
apielé	1
apeloient	1
apieloient	1
apeleroit	1
apelasmes	1
apeler	1

Graphie du mot arester
Lemme : arester	48
arrester	15
arresta	11
arrestoit	5
arrestoient	4
arresterent	3
arrestent	3
arrestez	2
arreste	2
arrestoien	1
arrestees	1
rarestai	1

Graphie du mot merci
Lemme : merci	18
merci	18

Graphie du mot bete
Lemme : beste	37
beste	27
bestes	9
bieste	1


Graphie du mot chastel
Lemme : chastel	40
chastel	30
chasteaus	5
chastiaus	4
chastiel	1

§12 ellus/os > eaus, iaus/aus

Recherche prospective
lemme : a3+le	327
au	327
as	163
al	12
Au	23
As	2
a	1

lemme : chastel	9
chastiel	1
chasteaus	5
chastel	30
chastiaus	4

lemme : bel1	124
bele	18
beau	21
beles	18
bel	9
beaus	25
Biaus	4
Beaus	70
biau	1
Bele	3
Beles	4
Beau	1
biaus	2

lemme : jovencel	53
jovencel	15
jovenciaus	1
jovenceaus	52
jovenencel	1

lemme : poissonel	1
pissonniaus	1

lemme : oisel	7
oiseaus	7
oisel	2

lemme : pel2	2
piaus	1
pel	2
peaus	1

lemme : travail	2
travail	15
travaus	2

lemme : lïoncel	3
lionceaus	3

lemme : vaissel	9
vaissel	2
vaisseaus	1
vessiaus	2
vesseaus	6
vessel	22

lemme : Marcel	68
Marcel	35
Marceaus	60
Marciales	1
Marceau	8

lemme : soleil	2
soleil	7
solauz	2
soleuz	1

lemme : Vercelles	1
Verziaus	1

lemme : conseil	1
conseil	7
conseus	1
consauz	1
consel	2
conselle	1
conseuz	1

lemme : porcel	1
porceaus	1

lemme : martel	1
marteaus	1
martel	1

lemme : a3+il	2
au	2

lemme : cel	1
cil	309
cels	24
cele	155
cel	102
celui	81
ceus	80
Cil	83
Cis	2
Cele	15
Celui	8
cis	7
celes	8
Celes	1
Cel	2
cist	1
celz	1
celi	3
ceuz	1
ceaus	1
Ceus	2

lemme : novel	1
noveles	1
noveaus	1
novel	1

lemme : corbeil	5
corbeaus	4
corbiaus	1

lemme : barillet	1
barilliaus	1

lemme : tonel	1
toniaus	1
toniel	2
tonel	2

lemme : estoupail	1
estoupaus	1



Graphie du mot bel
Lemme : bel1	176
beaus	95
beau	22
beles	22
bele	21
bel	9
Biaus	6
biau	1

Graphie du mot chastel
Lemme : chastel	40
chastel	30
chasteaus	5
chastiaus	4
chastiel	1

Graphie du mot chevel
Lemme : chevel	14
cheveus	13
chevels	1

particularité pic. idem pour illus/os > aus/iaus
Graphie du mot soleil
Lemme : soleil	10
soleil	7
solauz	2
soleuz	1

Graphie du mot conseil
Lemme : conseil	13
conseil	7
consel	2
conseus	1
consauz	1
conselle	1
conseuz	1

Etude de la graphie du pronom P3 - pluriel régime
Lemme : il < illos 	629
POS=PROper|PERS.=3|NOMB.=p|GENRE=f|CAS=i
eles	4
elles	1
lor	5
leur	1
POS=PROper|PERS.=3|NOMB.=p|GENRE=f|CAS=r
les	41
lor	2
POS=PROper|PERS.=3|NOMB.=p|GENRE=m|CAS=i
eus	113
lor	241
euz	3
els	6
leur	10
li	9
POS=PROper|PERS.=3|NOMB.=p|GENRE=m|CAS=r
les	190
euz	1
s	1
l	1

§14 melius < miusGraphie du mot mieus
Lemme : mieus	17
mielz	13
mius	2
miuz	2


Graphie du mot tel
Lemme : tel	177
tel	103
tele	32
tieus	28
teles	7
teil	3
atieus	1
tieuz	1
tiels	1
teus	1


Graphie du mot autel
Lemme : autel	11
autel	7
autieus	2
autele	1
auteus	1


Graphie du mot quel
Lemme :quel1 	88
quel	35
qele	10
quele	9
quels	5
qieus	5
queus	4
qel	4
qeles	4
Ques	4
queles	2
quieus	2
qels	1
quielz	1
Quiels	1
quiel	1

Confusion graphique an/en, une plus grande propension à fermer la consonne nasale ?mots en anLemme :*ex	13
anima	1
sancto	1
Benedic	1

Lemme :-	129
Euvangelium	1
manus	1
Penitentiam	1
commendo	1
condenpnabitur	1
enim	1
enutries	1
nomen	1
renatus	1

Lemme :Lucain	1
Lucans	1

Lemme :Nepotien	6
Nepotianum	1
Nepotiens	5

Lemme :acorre	8
acorant	1
acoroient	1
acorurent	2

Lemme :afüir	1
afuiant	1

Lemme :ainçois	19
ançois	8

Lemme :ambedos	11
andui	3

Lemme :aparoir	36
aparanz	1
aparoient	1
aparurent	3

Lemme :aporter	74
aportant	1
aportassent	1
aporterent	5
aporteroient	1
aportoient	2

Lemme :apovrir	1
apovreant	1

Lemme :ardre	35
ardant	3
ardanz	10
ardoient	1
arsissent	3
arstrent	1

Lemme :astinence	5
abstinance	1
abstinence	3
abstinences	1

Lemme :benëir	53
beneïssant	4
Beneïssons	1
benedicat	1
beneois	1
beneoiz	3
beneoïs	1
beneï	12
beneïe	7
beneïr	6
beneïrent	4
beneïs	1
beneïssant	4
beneïssoient	1
beneïz	5
beneüree	1
beneüreuse	2
beneürez	2
beneürés	1

Lemme :bondir	1
boidissant	1

Lemme :champ	6
chans	3
chanz	1

Lemme :comencier	245
comanç	1
conmanç	1
conmança	1
comence	4
comencie	3
comencier	2
comencierent	29
comenciez	1
comencié	2
comença	91
començai	2
començames	1
començoient	1
començoit	1
commença	1
conmence	4
conmencent	1
