a libre tonique  > ei §1			
Mot	Nombres d'occurrences total	Nombre d'occurrences	
Lemme : alaitier	5	2	
alaitoit	1		
aletoit	1		
aletier	1		
alaitai	1		
aletai	1		
Lemme : mauvaisement	2	2	
mauvesement	2		
Lemme : fais	2	2	
fez	1		
fes	1		
Lemme : montaigne	17	2	
montaigne	9		
montaignes	3		
monteigne	3		
montagne	2		
Lemme : aitre	2	2	
atrie	2		
Lemme : maisoncele	3	1	
mesoncele	1		
maisonceles	1		
maissoncele	1		
Lemme : daërrain	1	1	
daerrenier	1		
Lemme : saisir	2	1	
seisi	1		
sesir	1		
Lemme : lait3	3	1	
leiz	1		
let	1		
lait	1		
Lemme : lucain	1	1	
lucans	1		
Lemme : traitier	3	1	
tretié	1		
traitier	1		
treita	1		
Lemme : baissier	1	1	
bessa	1		
Lemme : graignor	1	1	
grignors	1		
Lemme : fornaise	2	1	
fornaise	1		
fornese	1		
Lemme : faille1	1	1	
falle	1		
Lemme : madelaine	1	1	
magdalene	1		
Lemme : raisnier	1	1	
resnierent	1		
Lemme : paistre	1	1	
pesse	1		
Lemme : laidengier	13	1	
laidengier	3		
laidengoit	2		
laidengierent	1		
laidengié	1		
ledengier	1		
leidenga	1		
laidenja	1		
leidengiez	1		
laidengassent	1		
leidengoient	1		
Lemme : desplaire	2	1	
despleüst	1		
desplaisoit	1		
Lemme : lait2	1	1	
let	1		
Lemme : contraire1	1	1	
contrere	1		
Lemme : saint	1753	1	
seinz	807		
seint	721		
seinte	124		
seintes	28		
seintisme	22		
seintismes	17		
saint	13		
seins	11		
seintime	7		
seintimes	2		
sancto	1		
Lemme : relaiier	1	1	
releroiz	1		
Lemme : relaissier	1	1	
relessiez	1		
Lemme : refaire1	1	1	
refet	1		
Lemme : plaisir	1	1	
plesir	1		
Lemme : comfait	1	1	
confez	1		
Lemme : travaillier	24	1	
traveilliez	6		
traveillier	4		
traveilloit	3		
traveilloient	2		
traveillie	2		
travaille	2		
traveillierent	1		
traveillié	1		
travaillent	1		
travelliez	1		
traveillons	1		
Lemme : repaire	19	1	
repaira	14		
repairai	1		
repairames	1		
repaires	1		
repairassent	1		
repera	1		
Lemme : luminaire	4	1	
luminaire	3		
lumineres	1		
Lemme : regaitier	1	1	
regeta	1		
Lemme : vaisselet	1	1	
vesselet	1		
Lemme : agait	2	1	
aguaiz	1		
aguet	1		
Lemme : aisier	1	1	
asent	1		
Lemme : contrait	1	1	
contrez	1		
Lemme : gäaignier1	3	1	
gaaignier	1		
gaagnier	1		
gaaigna	1		
Lemme : debonairement	1	1	
debonerement	1		
Lemme : sostraire	1	1	
soztreroient	1		
Lemme : mai	2	1	
mai	1		
may	1		
Lemme : forfaire	4	1	
forfeïssent	1		
forfait	1		
fourfait	1		
forfete	1		
Lemme : araisnier	1	1	
aresna	1		
Lemme : plaisant	1	1	
plesans	1		
Lemme : chaille	17	1	
ceaille	13		
cheaille	2		
ceailles	1		
cealle	1		
Lemme : afaire1	6	1	
afaire	3		
afaires	2		
aferes	1		
Lemme : estoupail	1	1	
estoupaus	1		
Lemme : raiembre	1	1	
reembre	1		
Lemme : refaire2	2	1	
refirent	1		
referai	1		
Lemme : rapaisier	2	1	
rapaisierent	1		
rapesiez	1		
			
ATICU > age/aige/ege $7			
Mot	Nombre total	Nombre d'occurrences en condition 1	Nombre d'occurrences condition 2
			
			
yod + ATA $8			
PPF des verbes du 1er groupe en ier avec auxiliaire être :  Nb total d'occurrence	0		
Participe en -ie(s) : Nb total d'occurrence	36		
Terme	Nombre d'occurrences	Occurrences du texte	
abaissier	2	abessie	
aidier	1	aidie	
amenuisier	4	amenuisie	
apaisier	4	apesies, apeisie, apesie	
apareillier1	2	appareillies, apareillie	
aprochier	2	aprochie	
atachier2	1	atachie	
baillier	1	baillie	
batisier	2	baptizie, baptiziez	
brisier	1	brisie	
chargier	1	charchies	
conchiier	1	conchies	
couchier	1	acouchie	
desconseillier	1	desconseillies	
eslëecier	1	esleecies	
esmaiier	1	esmaie	
essaucier	2	essaucie	
moillier1	1	mollie	
negier	2	negie	
noncier1	1	noncie	
sechier	1	sechie	
travaillier	2	traveillie	
trenchier1	1	trenchie	
			
Participe en -iee(s) : Nb total d'occurrence	3		
Terme	Nombre d'occurrences	Occurrences du texte	
sechier	1	sechiee	
escomeniier	2	escomeniee, escomenieez	
			
Autres formes : Nb total d'occurrence	2		
Terme	Nombre d'occurrences	Occurrences du texte	
descirier	1	desciree	
otroiier	1	otroïe	
