Graphie du mot Dieu $9

lemme : dieu	Nombres d'occurrences : 195
convertir	2	
convertiz	2	
converti	3	
convertie	3	
Lemme : defaillir	6	1
defailli	1	
desfaillies	1	
defaillirent	1	
defaille	1	
defailloit	2	
Lemme : sapïence	1	1
sapience	1	
Lemme : defendëor	4	1
deffenderres	1	
deffendierres	1	
deffendeur	1	
desfenderres	1	
Lemme : seignorie	29	1
signories	1	
segnorie	2	
seignorie	4	
signorie	22	
Lemme : berçuèl	1	1
bierçuel	1	
Lemme : mercredi	3	1
miercredi	1	
mercredi	2	
Lemme : briément	1	1
briement	1	
Lemme : replenir	2	1
repleni	1	
repleniez	1	
Lemme : oindre	6	1
oigniez	1	
oindre	1	
oinz	1	
oinst	3	
Lemme : adoucir	2	1
adoucissoit	1	
adoucier	1	
Lemme : querre	51	1
quiers	1	
querions	1	
qierent	1	
quisissent	1	
qeur	1	
qist	1	
qeïssent	2	
querons	2	
queroit	2	
quis	2	
qerez	2	
qistrent	3	
qerant	3	
qeroient	4	
querant	4	
quist	5	
querre	7	
qerre	9	
Lemme : conoistre	61	1
coneüst	1	
counut	1	
conisteroiz	1	
connoistre	1	
conneüssent	1	
conneües	1	
coneües	1	
conoisteront	1	
conneü	1	
conui	1	
conoissiez	1	
connurent	1	
connissoit	1	
coneüs	1	
conissoient	1	
conoissons	2	
conoist	2	
conoisse	2	
coneüssent	2	
conoissoient	2	
conois	2	
coneüz	2	
coneüe	2	
conut	3	
coneü	3	
conurent	4	
conoissent	4	
conoistre	7	
conoissoit	9	
Lemme : michel	1	1
michiel	1	
Lemme : fontenele	3	1
fontenieles	1	
fontenele	2	
Lemme : boisëor	1	1
boisieres	1	
Lemme : crestïenté	1	1
crestienté	1	
Lemme : changëor	2	1
changieres	1	
changeur	1	
Lemme : vieillart	1	1
viellarz	1	
Lemme : set	1	1
siet	1	
Lemme : doner	186	1
dounee	1	
donra	1	
donames	1	
doing	1	
doinsiez	1	
donas	1	
donés	1	
douna	1	
donner	1	
donrai	1	
douner	2	
donoient	2	
doinses	2	
donons	2	
donroit	3	
donrons	3	
donassent	3	
donees	5	
doinst	6	
donez	7	
done	7	
donerent	8	
donoit	14	
donast	14	
doné	14	
donee	17	
doner	28	
dona	39	
Lemme : uiti(s)me	1	1
huitieves	1	
Lemme : congié	17	1
congiez	1	
congié	16	
Lemme : otroiier	39	1
otroioies	1	
otroiez	1	
otrierai	1	
otroions	1	
otroier	2	
otroierent	2	
otroie	2	
otroïe	2	
otroiast	2	
otroié	4	
otroit	6	
otroia	15	
Lemme : enchasser	1	1
enchaciez	1	
Lemme : norrir	5	1
norrissoit	1	
norriz	1	
norri	1	
norrissiez	1	
norrir	1	
Lemme : soloir	36	1
soloies	1	
sieus	1	
soliez	1	
suel	1	
soloient	9	
soloit	23	
Lemme : devorëor	1	1
devorrieres	1	
Lemme : faire	991	1
faciat	1	
feites	1	
faissoit	1	
fissent	1	
fesions	1	
fei	1	
ferre	1	
feïz	1	
faisions	1	
faciez	1	
feïsses	1	
fesoies	1	
feroiz	1	
feïssons	1	
feisoit	2	
feisoient	2	
feras	2	
faites	2	
faisant	2	
faces	2	
facent	2	
feïmes	2	
feïsse	2	
fis	2	
faissoient	2	
fesant	2	
feront	3	
feïstes	3	
faz	3	
fes	5	
face	6	
ferai	6	
feïs	6	
fera	6	
fai	6	
faisoient	8	
feroient	10	
fez	12	
feïssent	13	
faite	14	
feroit	15	
faisoit	16	
fesoient	17	
font	18	
fetes	24	
feïst	29	
fesoit	29	
fete	31	
faire	34	
firent	51	
fait	53	
feire	58	
fet	104	
fere	174	
fist	199	
Lemme : prendre	214	1
prendent	1	
preïsmes	1	
prenderas	1	
prendroit	1	
prendrons	1	
prenderoit	1	
preïstes	1	
preerent	1	
preigniez	1	
preïs	1	
prengent	2	
prenoient	2	
prisses	2	
prendroient	2	
prenez	2	
preïssent	2	
prenge	2	
