;C1;C2;C3;D;E2;F2;G1;M1;N1
237;1;1;1;1;2;NA;1;NA;NA
238;1;1;1;1;1;1;1;0;1
239;1;1;1;1;1;1;0;1;1
240;1;1;1;1;1;0;1;1;1
241;1;1;1;1;1;1;2;3;3
242;1;1;1;1;1;1;2;1;1
243;1;1;1;1;1;1;1;2;1
244;1;1;1;1;1;1;2;1;1
245;1;1;1;1;2;1;1;1;1
246;1;1;1;1;1;1;1;2;1
247;1;1;1;1;1;2;1;1;1
248;1;1;1;1;1;1;1;1;2
249;1;1;1;1;1;1;1;1;2
250;1;1;1;1;1;0;1;1;1
251;1;1;1;1;1;NA;1;1;2
252;1;1;1;1;1;1;2;1;1
253;1;1;1;1;1;1;2;2;2
254;1;1;1;1;1;1;2;1;1
255;1;1;1;1;1;0;1;1;1
256;1;1;1;1;1;NA;2;1;1
257;1;1;1;1;1;1;2;2;2
258;1;1;1;0;1;1;1;1;1
259;1;1;1;1;1;2;2;2;2
260;1;1;1;1;1;2;0;4;4
261;1;1;1;1;1;1;1;1;2
262;1;1;1;2;1;1;1;1;1
263;1;1;1;2;3;3;4;1;1
264;1;1;1;2;1;1;1;1;1
265;1;1;1;1;1;2;3;1;1
266;1;1;1;1;1;2;1;1;1
267;1;1;1;1;0;1;0;1;1
268;1;1;1;1;1;0;1;1;1
269;1;1;1;1;0;NA;0;1;1
270;1;2;1;2;2;2;1;2;3
271;1;1;1;1;1;1;1;0;0
272;1;1;1;1;1;0;1;1;1
273;1;1;1;1;2;1;1;1;1
274;1;1;1;1;1;0;1;1;1
275;1;1;1;1;1;0;1;1;1
276;1;2;1;1;1;NA;2;2;2
277;1;1;1;1;1;1;0;0;0
278;1;1;1;1;1;1;1;2;2
279;1;1;1;1;1;0;1;1;1
280;1;1;1;2;2;3;4;1;1
281;1;1;1;NA;NA;NA;NA;0;0
282;1;2;1;NA;NA;NA;NA;1;1
283;1;1;1;1;0;1;1;1;1
284;1;1;1;1;1;1;1;1;2
285;1;1;1;1;1;1;1;1;2
286;1;1;1;2;1;3;4;1;2
287;1;1;1;1;1;0;1;1;1
288;1;1;1;1;1;NA;1;2;2
289;1;1;1;1;1;2;1;1;1
290;1;1;1;1;1;2;3;1;1
291;1;1;1;1;1;1;2;1;1
292;1;1;1;2;2;2;1;1;1
293;1;1;1;1;1;1;1;2;3
294;1;1;1;1;0;1;1;1;1
295;1;1;1;1;1;0;1;0;1
296;1;1;1;1;1;1;1;2;2
297;1;1;1;1;1;1;2;3;3
298;1;1;1;1;1;1;0;1;1
299;1;1;1;1;1;0;1;1;1
300;1;1;1;1;1;NA;2;1;1
301;1;1;1;1;1;NA;1;2;2
302;1;1;1;1;1;NA;1;1;2
303;1;1;1;1;1;1;0;0;0
304;1;1;1;1;1;1;2;2;2
305;1;1;1;1;1;0;1;1;1
306;1;1;1;1;2;1;1;1;1
307;1;1;1;1;1;0;1;1;0
308;1;1;1;1;1;1;2;1;1
309;1;1;1;1;1;1;2;3;1
310;1;1;1;1;0;0;NA;NA;1
311;1;1;1;1;1;1;NA;NA;0
312;1;1;1;1;1;1;2;1;1
313;1;1;1;1;1;1;1;1;0
314;1;1;1;1;1;1;2;1;NA
315;1;1;1;1;1;0;1;1;1
316;1;1;1;1;1;1;2;2;2
317;1;1;1;1;0;1;NA;NA;NA
318;1;1;1;1;1;1;2;3;4
319;1;1;1;1;0;0;1;1;1
320;1;1;1;1;NA;NA;2;2;2
321;1;1;1;1;1;2;0;1;1
322;1;1;1;1;1;1;1;2;1
323;1;1;1;2;1;3;0;0;1
324;1;2;1;2;3;1;1;1;1
325;1;2;1;2;2;2;3;3;1
326;1;1;1;1;1;2;1;1;1
327;1;1;1;1;1;1;1;0;0
328;1;1;1;1;1;1;1;2;2
329;1;1;1;1;1;1;1;2;2
330;1;1;2;3;1;1;1;4;4
331;1;1;NA;NA;0;1;0;NA;NA
332;1;1;NA;NA;1;1;2;NA;NA
333;1;1;1;1;1;1;1;2;2
334;1;1;1;1;1;1;1;1;2
335;1;1;1;1;1;1;1;2;2
336;1;1;2;1;1;1;1;1;1
337;1;1;1;1;1;0;1;1;1
338;1;1;1;1;1;NA;1;1;2
339;1;1;1;1;1;0;1;1;1
340;1;1;1;1;1;1;1;1;2
341;1;1;1;1;1;1;1;2;NA
342;1;1;1;1;1;1;1;2;NA
343;1;1;1;1;1;1;1;1;2
344;1;1;1;1;1;1;2;1;1
345;1;1;1;1;1;2;3;1;1
346;1;1;1;1;1;0;1;1;1
347;1;1;1;1;1;NA;1;2;2
348;1;1;1;1;1;NA;0;NA;NA
349;1;1;1;1;1;2;1;1;1
350;1;1;1;1;1;NA;2;1;1
351;1;1;1;1;1;2;1;3;0
352;1;1;1;1;1;0;1;1;1
353;1;1;1;1;1;1;2;1;1
354;1;1;1;1;1;0;1;1;1
355;1;1;1;1;1;NA;1;2;2
356;1;1;1;1;1;1;1;0;0
357;1;1;1;1;1;2;2;2;2
358;1;1;1;1;1;1;2;3;1
359;1;1;1;1;1;2;1;1;3
360;1;1;1;1;1;0;0;1;0
361;1;1;1;0;1;1;1;1;1
362;1;1;1;1;1;2;1;1;1
363;1;1;1;2;2;NA;1;1;1
364;1;1;1;1;1;0;1;1;1
365;1;1;1;2;1;NA;1;1;1
366;1;1;1;1;1;0;1;1;1
367;1;1;1;1;1;1;1;2;2
368;1;1;1;1;1;1;1;2;1
369;1;1;1;1;2;3;1;2;1
370;1;1;1;1;2;1;1;2;1
371;1;1;1;1;1;1;1;1;2
372;1;1;1;1;1;1;2;1;1
373;1;1;1;1;1;2;1;1;1
374;1;1;1;1;1;1;2;3;3
375;1;1;1;1;1;0;1;0;0
376;1;1;1;1;1;1;2;1;1
377;1;1;1;1;1;1;2;1;1
378;1;1;1;1;1;1;2;3;3
379;1;1;1;2;1;2;1;2;1
380;1;1;1;2;1;1;1;1;1
381;1;1;1;2;3;1;4;5;5
382;1;1;1;NA;NA;2;NA;NA;NA
383;1;1;1;0;1;1;1;1;1
384;1;1;1;NA;2;0;1;4;4
385;1;1;1;0;1;0;0;1;0
386;1;1;1;1;1;1;2;1;1
387;1;0;1;0;0;0;1;1;1
388;1;NA;1;NA;NA;NA;1;1;2
389;1;0;1;0;0;1;1;1;1
390;1;NA;1;NA;NA;0;1;1;1
391;1;NA;1;NA;NA;2;1;1;1
392;1;NA;1;NA;NA;0;1;1;1
393;1;NA;1;NA;NA;NA;2;1;1
394;1;NA;1;NA;NA;NA;NA;1;0
395;1;NA;2;NA;NA;NA;NA;1;1
396;1;1;1;1;1;1;2;2;2
397;1;1;1;1;1;1;2;3;4
398;1;1;1;1;1;2;3;1;3
399;1;1;1;1;1;1;1;2;1
400;1;1;1;1;1;1;1;2;1
401;1;1;1;1;1;1;2;1;1
402;1;1;1;1;1;1;1;1;2
403;1;1;1;1;1;1;2;1;1
404;1;1;1;1;1;1;1;1;0
405;1;1;1;1;1;2;1;1;1
406;1;1;1;1;1;1;1;2;3
407;1;1;1;1;1;1;0;1;0
408;1;1;1;1;1;1;1;2;3
409;1;1;1;1;1;1;0;1;1
410;1;1;1;1;1;1;1;2;2
411;1;1;1;1;1;2;1;1;1
412;1;1;1;1;1;0;1;1;1
413;1;1;1;1;1;NA;2;2;2
414;1;1;1;1;1;0;1;1;1
415;1;1;1;1;1;2;1;1;1
416;1;1;1;1;1;1;1;2;3
417;1;1;1;1;1;1;1;0;0
418;1;1;1;1;1;0;0;1;1
419;1;1;1;1;1;2;1;2;1
420;1;1;1;1;1;2;2;2;2
421;1;1;1;1;1;1;0;1;1
422;1;1;1;1;1;1;2;2;2
423;1;2;2;2;2;2;2;2;2
424;1;1;1;1;1;2;1;1;1
425;1;1;1;1;1;1;0;1;1
426;1;1;1;1;1;2;1;2;2
427;1;1;1;1;1;1;1;2;2
428;1;0;0;0;1;3;3;0;3
429;1;1;1;1;1;1;2;1;1
430;1;1;0;1;1;1;1;0;1
431;1;1;1;1;1;1;2;1;2
432;1;1;1;1;1;0;1;1;1
433;1;1;1;1;1;1;1;1;2
434;1;1;1;1;1;1;0;3;1
435;1;1;1;2;1;1;NA;NA;1
436;1;1;1;1;1;1;NA;NA;0
437;1;1;1;1;1;1;0;1;1
438;2;1;1;1;1;1;NA;1;1
439;1;1;1;1;1;1;NA;0;0
440;1;1;1;1;1;1;0;1;1
441;1;1;1;1;1;1;1;2;2
442;1;1;1;1;1;1;1;1;2
443;1;1;1;1;1;1;1;1;0
444;1;1;1;1;1;1;1;2;3
445;1;1;1;1;1;0;1;1;1
446;1;1;1;1;2;3;2;2;2
447;1;1;1;2;3;3;1;1;1
448;1;1;1;1;1;1;1;1;0
449;1;1;1;2;2;2;3;1;NA
450;1;1;1;1;1;1;0;0;NA
451;1;1;1;1;1;1;2;2;NA
452;1;1;1;1;1;2;1;1;1
453;1;1;1;1;1;1;2;1;1
454;1;1;1;1;1;0;1;1;1
455;1;1;1;1;1;0;1;1;1
456;1;1;1;1;1;NA;1;1;2
457;1;1;1;1;1;0;1;1;1
458;1;0;1;0;0;0;1;1;1
459;1;NA;1;NA;NA;NA;0;0;0
460;1;1;1;1;2;0;4;1;5
461;1;2;1;1;1;1;1;1;1
462;1;1;1;1;1;0;1;1;1
463;1;1;1;1;0;0;1;1;1
464;1;1;1;1;1;0;1;1;1
465;1;1;1;1;1;2;2;2;2
466;1;1;1;2;1;3;1;1;1
467;1;1;1;1;1;2;1;1;1
468;1;1;1;1;1;1;0;1;1
469;1;1;1;1;1;0;1;1;1
470;1;1;1;1;1;NA;2;1;1
471;1;1;1;1;1;NA;0;3;3
472;1;1;1;2;2;1;1;1;1
473;1;1;1;1;1;1;2;1;1
474;1;1;1;1;1;1;2;1;2
475;1;1;1;1;1;0;1;1;1
476;1;1;1;1;1;NA;0;1;1
477;1;1;1;2;2;NA;3;4;1
478;1;1;1;1;1;1;0;0;0
479;1;1;1;1;1;1;1;2;2
480;1;1;1;1;1;1;2;NA;NA
481;1;1;1;1;1;1;2;1;1
482;1;1;1;1;1;1;2;3;1
483;1;1;1;1;1;2;3;4;5
484;1;1;1;1;0;1;1;1;1
485;1;1;1;1;1;0;1;1;1
486;1;1;1;1;1;NA;1;1;2
487;1;1;1;1;0;NA;0;1;3
488;1;1;1;1;1;1;1;2;1
489;1;1;1;1;1;2;1;1;1
490;1;1;1;1;1;0;1;1;1
491;1;1;1;1;1;NA;1;1;2
492;1;1;1;1;1;0;1;1;1
493;1;1;1;1;1;NA;1;1;2
494;1;1;1;1;1;NA;2;2;3
495;1;1;1;1;1;1;2;1;1
496;1;1;1;1;1;0;NA;1;1
497;1;1;1;1;1;NA;NA;1;2
498;1;1;1;1;1;1;NA;2;1
499;1;1;1;1;1;0;1;0;0
500;1;1;1;1;2;1;1;1;1
501;1;1;1;1;1;2;1;1;1
502;1;1;1;1;1;0;0;1;1
503;1;1;1;1;2;NA;NA;1;1
504;1;1;1;1;1;NA;NA;2;2
505;1;1;1;1;2;1;2;1;1
506;1;1;1;2;2;2;3;4;4
507;1;1;1;1;1;0;0;1;1
508;1;1;1;1;1;2;1;3;1
509;1;1;1;1;1;1;2;2;2
510;1;1;1;1;1;0;1;1;1
511;1;1;1;1;0;NA;1;1;1
512;1;1;1;1;1;0;1;1;1
513;1;1;1;1;1;0;1;1;1
514;1;1;1;1;1;1;1;2;2
515;1;1;1;1;1;0;1;1;1
516;1;1;1;2;1;NA;1;1;1
517;1;1;1;1;1;NA;2;3;3
518;1;1;1;1;2;1;2;2;2
519;1;1;1;1;1;1;2;1;1
520;1;1;1;1;1;1;2;2;2
521;1;1;1;1;2;2;1;1;1
522;1;1;1;1;1;0;1;1;1
523;1;1;1;1;1;NA;1;2;1
524;1;1;1;1;1;0;0;1;0
525;1;1;1;1;1;1;2;1;3
