;F2;G1;M1;N1
854;2;1;3;4
855;1;2;3;4
856;1;1;2;2
857;2;2;1;1
858;2;1;1;1
859;0;1;1;1
860;0;1;1;1
861;NA;2;1;1
862;NA;1;2;3
863;NA;0;1;1
864;NA;2;1;2
865;NA;0;1;0
866;NA;1;2;1
867;NA;0;1;1
868;NA;1;2;2
869;NA;0;1;0
870;NA;2;1;1
871;NA;1;1;2
872;1;2;1;1
873;0;1;1;1
874;1;1;0;0
875;0;1;1;1
876;0;1;1;1
877;1;2;2;2
878;1;1;1;0
879;1;1;1;2
880;1;2;3;3
881;0;1;1;1
882;1;2;3;4
883;1;1;2;1
884;1;1;1;0
885;1;2;1;1
886;0;3;1;1
887;0;1;1;1
888;NA;2;1;2
889;NA;1;2;1
890;NA;0;1;1
891;NA;NA;2;1
892;1;2;2;1
893;2;1;1;1
894;1;2;3;3
895;2;1;1;1
896;NA;1;0;0
897;0;1;1;1
898;NA;2;1;1
899;1;2;1;1
900;0;NA;1;1
901;1;1;1;0
902;0;1;1;NA
903;0;1;1;1
904;NA;1;1;0
905;NA;2;1;1
906;NA;0;1;1
907;1;0;1;1
908;2;NA;1;1
909;0;1;1;1
910;NA;2;1;1
911;0;1;1;1
912;1;2;3;2
913;0;1;1;0
914;0;3;1;4
915;1;1;1;2
916;0;1;1;1
917;2;2;1;1
918;1;2;1;1
919;1;2;1;1
920;0;1;1;1
921;NA;2;1;1
922;2;1;1;1
923;2;1;1;1
924;3;2;1;1
925;2;2;2;1
926;0;1;0;0
927;1;2;2;2
928;2;1;1;1
929;2;1;1;1
930;0;0;1;1
931;1;1;0;0
932;0;1;NA;NA
933;0;1;1;1
934;NA;2;1;1
935;NA;2;1;1
936;NA;2;1;1
937;0;1;1;1
938;1;0;1;1
939;1;NA;0;0
940;1;2;2;2
941;0;1;1;1
942;NA;0;1;1
943;NA;1;0;0
944;0;1;1;1
945;NA;2;1;1
946;0;1;1;1
947;NA;1;1;2
948;0;1;1;1
949;NA;1;1;2
950;1;1;1;2
951;0;1;1;1
952;0;3;1;4
953;2;1;1;1
954;NA;1;1;0
955;1;1;1;2
956;1;1;2;2
957;1;1;1;2
958;1;2;1;1
959;1;1;2;3
960;1;2;1;1
961;1;2;1;1
962;0;1;1;1
963;NA;0;1;1
964;0;1;1;1
965;NA;0;1;0
966;0;0;1;1
967;0;1;1;1
968;0;1;1;1
969;0;0;0;1
970;1;2;1;1
971;2;1;1;1
972;2;1;1;1
973;NA;2;1;1
974;1;0;1;1
975;1;NA;1;2
976;0;1;1;1
977;2;1;1;1
978;2;1;1;2
979;0;3;1;3
980;1;1;0;1
981;2;1;1;1
982;NA;1;2;1
983;1;2;1;1
984;0;1;1;1
985;1;1;2;2
986;0;1;1;1
987;NA;1;2;1
988;2;1;2;2
989;0;1;1;1
990;NA;1;2;1
991;1;0;1;1
992;0;1;1;1
993;0;1;1;1
994;NA;1;2;1
995;1;0;1;1
996;1;NA;2;2
997;1;NA;2;2
998;1;2;1;1
999;2;1;1;1
1000;0;1;1;1
1001;NA;1;2;2
1002;1;0;1;1
1003;1;1;1;2
1004;2;1;1;1
1005;2;3;1;1
1006;0;1;1;1
1007;1;0;1;1
1008;0;NA;1;1
1009;2;3;1;1
1010;0;1;1;1
1011;0;1;0;0
1012;1;0;0;0
1013;1;1;2;2
1014;0;1;NA;NA
1015;1;2;1;1
1016;1;0;1;1
1017;0;0;1;1
1018;0;1;1;1
1019;0;1;1;1
1020;1;2;1;1
1021;0;1;1;1
1022;NA;1;2;1
1023;2;1;1;1
1024;1;2;1;1
1025;0;0;1;1
1026;0;1;1;1
1027;NA;1;2;1
1028;1;1;2;3
1029;1;1;2;1
1030;0;1;0;1
1031;1;2;1;1
1032;0;1;1;1
1033;NA;1;2;2
1034;1;2;2;2
1035;1;2;3;3
1036;2;1;1;1
1037;1;2;3;3
1038;1;1;1;2
1039;1;2;2;2
1040;1;2;3;4
1041;1;2;2;2
1042;1;2;1;1
1043;0;1;1;1
1044;NA;1;1;2
1045;1;2;1;1
1046;1;0;1;1
1047;1;2;1;1
1048;1;1;2;2
1049;1;2;3;3
1050;1;1;2;2
1051;0;1;1;1
1052;1;1;2;1
1053;1;1;2;1
1054;2;1;1;1
1055;1;1;1;2
1056;0;1;1;1
1057;2;1;1;1
1058;0;1;1;1
1059;1;1;1;2
1060;1;2;1;1
1061;1;2;1;1
1062;2;1;1;1
1063;1;0;3;3
1064;0;1;1;1
1065;1;0;1;1
1066;2;1;1;1
1067;1;0;1;1
1068;1;2;1;1
1069;0;1;1;1
1070;NA;2;1;1
1071;0;1;1;1
1072;1;0;1;0
1073;0;1;1;1
1074;NA;1;1;0
1075;1;1;1;2
1076;1;2;1;1
1077;2;NA;1;1
1078;0;1;1;1
1079;NA;1;0;1
1080;1;2;3;3
1081;1;2;2;3
1082;2;1;1;1
1083;0;1;1;0
1084;1;0;0;1
1085;2;1;1;1
1086;NA;2;1;2
1087;NA;1;1;2
1088;NA;1;2;1
1089;1;1;0;0
1090;0;1;1;1
1091;1;2;1;1
1092;0;0;1;1
1093;0;1;1;1
1094;1;1;1;0
1095;1;2;1;1
1096;1;2;2;1
1097;1;1;0;0
1098;1;1;2;3
1099;0;1;NA;NA
1100;2;1;3;3
1101;1;1;1;2
1102;0;1;3;3
1103;1;2;3;4
1104;0;1;1;1
1105;NA;0;1;1
1106;NA;1;2;2
1107;NA;2;1;1
1108;1;2;2;2
1109;1;2;2;2
1110;1;2;3;4
1111;1;1;1;2
1112;1;2;2;2
1113;1;1;1;2
1114;0;1;1;1
1115;NA;1;2;2
1116;NA;2;1;1
1117;NA;2;1;3
1118;NA;1;1;2
1119;0;1;1;1
1120;1;2;1;1
1121;1;NA;0;0
1122;1;2;3;4
1123;0;0;1;1
1124;NA;NA;1;0
1125;1;2;3;3
1126;2;1;1;1
1127;0;1;1;1
1128;1;2;3;3
1129;0;1;1;1
1130;0;0;1;1
1131;2;1;1;1
1132;0;1;1;1
1133;NA;2;1;1
1134;NA;NA;1;0
1135;0;1;1;1
1136;2;1;1;1
1137;1;1;2;1
1138;1;1;1;2
1139;0;1;1;1
1140;NA;1;2;3
1141;NA;1;2;2
1142;NA;1;1;2
1143;NA;1;1;2
1144;2;1;1;1
1145;1;2;1;1
1146;2;1;1;1
1147;1;1;1;2
1148;2;1;1;1
1149;1;1;2;2
1150;1;1;0;0
1151;0;1;1;1
1152;1;2;3;3
1153;0;1;0;0
1154;1;2;1;1
1155;0;1;1;1
1156;NA;0;1;0
1157;1;0;1;0
1158;0;1;1;1
1159;1;1;2;2
1160;1;2;1;1
1161;0;0;1;1
1162;1;2;1;1
1163;0;1;1;1
1164;1;1;0;0
1165;1;0;1;1
1166;2;NA;1;1
1167;1;1;2;3
1168;0;1;NA;NA
1169;2;1;1;1
1170;0;1;0;0
1171;0;1;1;1
1172;1;0;0;0
1173;1;2;1;1
1174;1;2;1;1
1175;1;2;1;1
1176;2;1;3;3
1177;1;2;1;1
1178;0;1;1;1
1179;NA;1;2;3
1180;1;1;2;1
1181;1;2;1;1
1182;1;2;1;1
1183;1;1;1;0
1184;1;2;1;1
1185;2;1;1;1
1186;NA;0;1;1
1187;0;1;1;1
1188;1;1;2;2
1189;1;1;1;2
1190;1;2;2;2
1191;1;2;1;1
1192;1;2;3;3
1193;1;2;1;1
1194;1;2;1;1
1195;1;0;1;1
1196;0;1;0;1
1197;1;1;1;2
1198;1;1;1;2
1199;1;0;1;1
1200;1;1;2;1
1201;1;1;2;0
1202;1;1;1;2
1203;0;1;1;1
1204;1;2;1;1
1205;1;1;1;2
1206;1;1;2;2
1207;1;0;1;1
1208;1;2;3;3
1209;1;2;2;2
1210;1;2;1;1
1211;1;1;0;0
1212;1;1;0;0
1213;2;1;2;1
1214;0;1;1;1
1215;1;1;1;2
1216;1;2;1;2
1217;0;1;1;1
1218;0;1;1;1
1219;0;1;1;1
