;C1;D;E2;F2;G1;M1;N1
298;1;1;1;NA;1;1;2
299;1;1;1;1;0;0;0
300;1;1;1;1;2;2;2
301;1;1;1;0;1;1;1
302;1;1;2;1;1;1;1
303;1;1;1;0;1;1;0
304;1;1;1;1;2;1;1
305;1;1;1;1;2;3;1
306;1;1;0;0;NA;NA;1
307;1;1;1;1;NA;NA;0
308;1;1;1;1;2;1;1
309;1;1;1;1;1;1;0
310;1;1;1;1;2;1;NA
311;1;1;1;0;1;1;1
312;1;1;1;1;2;2;2
313;1;1;0;1;NA;NA;NA
314;1;1;1;1;2;3;4
315;1;1;0;0;1;1;1
316;1;1;NA;NA;2;2;2
317;1;1;1;2;0;1;1
318;1;1;1;1;1;2;1
319;1;2;1;3;0;0;1
320;1;2;3;1;1;1;1
321;1;2;2;2;3;3;1
322;1;1;1;2;1;1;1
323;1;1;1;1;1;0;0
324;1;1;1;1;1;2;2
325;1;1;1;1;1;2;2
326;1;NA;0;1;0;NA;NA
327;1;NA;1;1;2;NA;NA
328;1;1;1;1;1;2;2
329;1;1;1;1;1;1;2
330;1;1;1;1;1;2;2
331;1;1;1;0;1;1;1
332;1;1;1;NA;1;1;2
333;1;1;1;0;1;1;1
334;1;1;1;1;1;1;2
335;1;1;1;1;1;2;NA
336;1;1;1;1;1;2;NA
337;1;1;1;1;1;1;2
338;1;1;1;1;2;1;1
339;1;1;1;2;3;1;1
340;1;1;1;0;1;1;1
341;1;1;1;NA;1;2;2
342;1;1;1;NA;0;NA;NA
343;1;1;1;2;1;1;1
344;1;1;1;NA;2;1;1
345;1;1;1;2;1;3;0
346;1;1;1;0;1;1;1
347;1;1;1;1;2;1;1
348;1;1;1;0;1;1;1
349;1;1;1;NA;1;2;2
350;1;1;1;1;1;0;0
351;1;1;1;2;2;2;2
352;1;1;1;1;2;3;1
353;1;1;1;2;1;1;3
354;1;1;1;0;0;1;0
355;1;0;1;1;1;1;1
356;1;1;1;2;1;1;1
357;1;2;2;NA;1;1;1
358;1;1;1;0;1;1;1
359;1;2;1;NA;1;1;1
360;1;1;1;0;1;1;1
361;1;1;1;1;1;2;2
362;1;1;1;1;1;2;1
363;1;1;2;3;1;2;1
364;1;1;2;1;1;2;1
365;1;1;1;1;1;1;2
366;1;1;1;1;2;1;1
