;C1;C2;C3;D;E2;F2
403;1;1;1;1;0;1
404;1;1;1;1;NA;0
405;1;2;1;1;NA;2
406;1;1;1;1;1;0
407;1;2;1;1;1;1
408;1;1;1;1;1;0
409;1;1;1;1;1;0
410;1;1;1;1;1;0
411;1;1;1;1;1;2
412;1;2;1;1;1;1
413;1;NA;1;1;0;0
414;1;1;1;1;1;2
415;1;1;1;2;1;1
416;1;1;1;1;1;2
417;1;1;1;1;1;0
418;1;1;1;1;2;NA
419;1;1;1;1;1;0
420;1;0;0;0;0;0
421;1;1;1;1;1;0
422;1;1;1;1;1;0
423;1;1;1;1;1;0
424;1;1;1;1;0;NA
425;1;1;1;1;1;0
426;1;1;1;1;1;0
427;1;1;1;1;1;0
428;1;1;1;1;1;0
429;1;1;1;1;1;0
430;1;1;1;1;0;1
431;1;1;1;1;1;0
432;1;1;1;1;0;0
433;1;1;1;1;1;2
434;1;1;1;1;1;0
435;1;2;2;2;2;NA
436;1;1;1;1;0;1
437;1;1;1;1;2;1
438;1;1;1;1;1;0
439;1;1;1;1;1;0
440;1;1;1;1;2;NA
441;1;1;1;1;1;0
442;1;0;1;0;1;NA
443;1;1;1;1;1;2
444;1;1;1;1;1;0
445;1;1;1;1;0;1
446;1;1;1;1;1;0
447;1;1;1;1;1;2
448;1;1;1;2;2;NA
449;1;1;1;1;1;0
450;1;1;1;1;1;2
451;1;1;1;1;1;0
452;1;1;1;1;1;0
453;1;1;1;1;1;0
454;1;1;1;1;1;2
455;1;1;1;1;1;0
456;1;1;1;1;2;NA
457;1;1;1;1;1;0
458;1;1;1;1;1;0
459;1;0;0;0;0;0
460;1;1;2;2;2;3
461;1;1;1;1;1;0
462;1;1;1;1;1;0
463;1;1;1;1;1;0
464;1;1;1;1;1;2
465;1;1;1;1;1;2
466;1;1;1;1;1;2
467;1;1;1;1;1;2
468;1;1;2;3;1;0
469;1;1;1;1;1;2
470;1;1;1;1;1;0
471;1;1;1;1;2;1
472;1;1;1;1;1;2
473;1;1;1;1;NA;2
474;1;1;1;1;NA;0
475;1;1;2;1;1;1
476;1;1;1;2;1;1
477;1;1;1;1;2;1
478;1;1;1;1;1;2
479;1;1;1;1;1;2
480;1;1;1;2;2;0
481;1;1;1;1;1;0
482;1;1;1;2;1;1
483;1;1;1;2;1;1
484;1;0;1;NA;0;1
485;1;1;1;2;1;1
486;1;1;1;0;0;0
487;1;1;1;1;1;0
488;1;1;1;2;2;NA
489;1;0;0;1;0;1
490;1;1;1;0;3;3
491;1;1;1;1;1;0
492;1;1;1;1;1;0
493;1;1;1;1;1;2
494;1;1;1;1;2;1
495;1;1;1;1;2;1
496;1;1;1;0;1;1
497;1;1;1;1;2;1
498;1;1;1;1;1;2
499;1;1;1;1;1;0
500;1;1;1;1;1;2
501;1;1;1;0;1;1
502;1;1;1;NA;1;0
503;1;1;1;1;2;1
504;1;1;1;1;1;0
505;1;1;1;1;1;0
506;1;1;1;2;1;1
507;1;1;1;1;1;2
508;1;1;1;1;1;0
509;1;1;1;1;1;0
510;1;1;1;1;1;2
511;1;1;1;1;1;2
512;1;1;1;1;1;0
513;1;1;1;1;1;0
514;1;1;1;2;2;NA
515;1;1;1;1;1;0
516;1;1;1;1;2;1
517;1;1;1;1;1;0
518;1;1;1;1;2;1
519;1;1;1;1;NA;0
520;1;1;1;1;1;0
521;2;1;1;1;1;1
522;1;1;1;2;3;0
523;1;1;1;1;1;0
524;1;1;1;1;2;1
525;1;1;1;1;2;2
526;1;1;1;1;1;0
527;1;1;1;2;1;NA
528;1;1;1;2;2;NA
