
Indicatif présent
Premier groupe

comander



tendre1
tendi	14



vestir
vesti	4



defaillir
defailli	1



amüir
amui	1



endormir
endormi	4



resalir
resailli	2



sospendre
sospendi	1



falir
failli	3



escondire
escondi	1



oïr
oï	10



criembre
cremi	6



ensevelir
enseveli	1



vomir
womi	1



derompre
derrompi	1



resplendir
resplendi	3



servir
servi	2



espandre
espandi	1



descendre
descendi	1



establir
establi	3



orgoillir
orgueilli	1



tolir
toli	1



gerir
gueri	2



ofrir
offri	1



pendre
pendi	2



sivre
sivi	1



resjöir
resjoï	1



desvestir
desvesti	1



veintre
venqui	1



espäorir
espoori	1



fondre
fondi	1



esbäir
esbahi	1



repentir
repenti	1



respandre
respandi	1



espartir
esparti	1



restre
refu	1



vendre
vendi	2



descovrir
descovri	1



Présence de -t, P3 indicatif parfait
venir
vint	233



detenir
detint	1



retraire
retraist	2


retrest	1



avenir
avint	127


avient	1



vëoir
vit	137


revist	1



prendre
prist	87



metre2
mist	51



dire
dist	405


dit	12



sovenir
sovint	6


souvint	1



avoir
eüst	1


ot	240


out	1


eut	1



conoistre
counut	1


conut	3



faire
fist	199



traire
trest	15


traist	1


tret	1



voloir
vout	60


volt	6



croire
crut	10



revenir
revint	25


revenist	1



ravoir2
rot	2



loisir1
lut	2



destruire
destruist	4


destruisist	1



enquerre
enquist	4



pöoir
pot	34


pout	3



estovoir
estut	1



apercevoir
aperçut	4



savoir
sot	52


sout	1



plaire
plot	10



emplir
emplist	1



ardre
arst	2
ardi	1



devoir
dut	5



devenir
devint	5



corir
courut	2
couru	2


corut	13
couru	2



tenir1
tint	16



covenir
covint	4



recevoir
reçut	21


rechut	3



asseoir
assist	1



boivre
but	3



requerre
requist	9


reqist	1



ocire
ocist	4



escorre
escoust	1



morir
morut	6



acorre
acorut	2



aparoir
aparut	23



movoir
mut	5



esprendre2
esprist	2



escrire
escrist	5



plovoir
plut	2



aprendre
aprist	3



sofire
sosfist	1



jesir
jut	6


gist	7



ravoir1
rot	1



poindre
poinst	1



targier1
tarjast	1



prinseignier
prensignast	1



parvenir
parvint	6



esprendre1
esprist	1



emprendre
emprist	1



complaindre
complegnoit	1



remanoir
remest	10



atenir
atint	1



taire
teut	2


teüt	2



rassëoir
rassist	1



maintenir
maintint	1


meintint	1



rendre
rendist	3
rendi	30



retenir
retint	2



constreindre
constreinst	1



esmovoir
esmut	4



trametre
tramist	1



reconoistre
reconut	5



estreindre
estreinst	1



detraire
detruist	1


