Graphie du mot Dieu
Lemme : dieu	132
Deu	74
Dex	54
Diu	2
Dé	1
Deus	1

Graphie du mot lieu
Lemme : lieu	80
leu	49
leus	18
liu	6
lius	3
lui	2
lieu	1
luies	1

§10 Réduction de e ouvert libre en i
repairier	35	repairast repaira repairiez repaireroit repeirierent repairierent repeirames repairoient repeira reperier repairier repeire repeirier repaireras repairoit repairons repeiroient repera repairié 
resoignier	4	resoignoit resoigna resoigne resoignons 
sachier2	10	sachiez sachiés sache 
seignier	1	seigna 
sisiesme	2	sisimes sisiesme 
soshaucier	1	sozhauça 
targier1	1	tarjast 
targier2	3	targerai targes tarja 
tesmoignier	18	tiesmoigne tesmoignoient tesmoignierent tesmoigne tesmoignent tesmoignoit tesmoigneroit tesmoigneroient tesmoignera tesmoignes 
tochier	1	toucha 
traitier	3	tretié traitier treita 
travaillier	17	traveillierent traveilloient traveillier traveilliez traveilloit traveillie travaillent travelliez traveillié 
trebuchier	3	trebuchant trebucierent 
trenchier1	10	trencha trenchie trenchier trenchast trencherons 
trespercier	1	trespercerai 
turchier	1	Turs 
veillier2	4	veillast veillierent veillier voeille 
vieil	17	viel vius vielz viez 
voie	54	voie voies voi 
äie	18	aïde 
äirier	1	aïrié 
çaienz	4	ceenz ceens 

§11 reduction de e ouvert > ie
Graphie du mot près
Lemme : près	33
pres	31
pries	2

Graphie du mot après
Lemme : après	131
Aprés	130
Apriés	1

Graphie du mot isnelement
Lemme : isnelement	9
isnelement	5
isnielement	4

Graphie du mot iver
Lemme : iver2	3
yvier	1
yver	1
ivier	1

Graphie du mot haitement
Lemme : haitement	1
heitiement	1

Graphie du mot nacele
Lemme : nacele	2
naciele	1
nacele	1

Graphie du mot novele
Lemme : novele	13
noveles	7
novele	5
noviele	1

Graphie du mot apeler
Lemme : apeler	68
apelez	25
apela	21
apelee	9
apeloit	4
apelent	2
apele	2
apelé	1
apielé	1
apeloient	1
apieloient	1
apeleroit	1

Graphie du mot arester
Lemme : arester	39
arrester	12
arresta	9
arresterent	3
arrestoient	3
arrestent	3
arrestoit	3
arrestez	2
arrestoien	1
arrestees	1
arreste	1
rarestai	1

Graphie du mot merci
Lemme : merci	10
merci	10

Graphie du mot bete
Lemme : beste	34
beste	25
bestes	8
bieste	1

§12 ellus/os > eaus, iaus/aus

Recherche prospective
lemme : a3+le	191
au	191
as	107
al	11
Au	12
As	1

lemme : chastel	5
chastiel	1
chasteaus	3
chastel	23
chastiaus	2

lemme : bel1	68
bele	12
beau	12
beles	15
bel	7
beaus	15
Biaus	4
Beaus	35
biau	1
Bele	1
Beles	3
Beau	1

lemme : jovencel	26
jovencel	11
jovenciaus	1
jovenceaus	25

lemme : poissonel	1
pissonniaus	1

lemme : oisel	5
oiseaus	5
oisel	2

lemme : pel1	1
piaus	1
pel	2

lemme : travail	2
travail	11
travaus	2

lemme : lïoncel	3
lionceaus	3

lemme : vaissel	3
vaissel	1
vaisseaus	1
vessiaus	1
vesseaus	1

lemme : Marcel	68
Marcel	35
Marceaus	60
Marciales	1
Marceau	8

lemme : soleil	2
soleil	7
solauz	2

lemme : Vercelles	1
Verziaus	1

lemme : conseil	1
conseil	5
conseus	1
consauz	1
consel	1

lemme : porcel	1
porceaus	1

lemme : a3+il	1
au	1



Graphie du mot bel
Lemme : bel1	106
beaus	50
beles	18
bele	13
beau	13
bel	7
Biaus	4
biau	1

