
Groupe scy :  ss
volenté	60	volenté	48	volentez	7	volonté	3	volontés	1	volentet	1	


§49 confusion s et ss
Asie	4	Aise	3	Almasse	1	
bas	5	basse	2	bas	3	
buison	1	buisson	1	
covoitise	6	covoitisse	2	covoitise	3	couvoitisses	1	
eglise	121	glisse	1	yglisse	1	eglisse	82	eglyse	6	eglisses	16	eglise	8	Eglisse	4	Glisse	1	eglyses	1	eglysse	1	
escïent	2	essient	1	essïent	1	
espès	4	espesses	1	espes	1	espés	2	
felon	9	felonnies	1	felon	3	felons	2	Felon	1	felenesse	1	fel	1	
garantise	2	garantisse	1	garantise	1	
garison	8	guerissons	1	garisons	2	garisson	2	guerisson	1	guerison	2	
gros	3	gros	1	grosses	2	
guise	8	guisse	3	guise	5	
las	4	las	2	lasse	1	Lasse	1	
laschece	1	lassece	1	
lïon	32	lion	9	lionesse	3	lions	18	liens	2	
maison	90	meson	84	messon	2	mesons	4	
maisoncele	3	mesoncele	1	maisonceles	1	maissoncele	1	
orison	125	orissons	90	orisson	33	orisons	2	
prison	5	prison	2	prissons	1	prisson	2	
raison	14	reson	3	resons	4	raison	1	reison	2	reisons	1	raisson	2	ressons	1	
resplendir	11	resplendissoit	3	resplendissant	2	resplendissoient	1	resplendi	2	resplendissanz	2	resplendir	1	
seignor	536	messires	4	Seignor	12	Sires	113	Signor	305	Signeur	4	Seigneur	1	signeur	8	sires	9	seignors	1	Segnor	2	signor	17	sire	7	Sire	33	signors	4	signeurs	1	monsigneur	8	Messires	1	mesires	1	Monsigneur	3	Signour	1	Monsignor	1	
sisiesme	4	sisimes	1	sisiesme	1	sissieme	1	sissime	1	
tamise	1	Tamisse	1	
träison	2	traïsson	2	


§50 s intérieur devant consonne entraine en r en pic?
arceveschié	2	arcevesqié	2	
arcevesque	28	arcevesqes	13	archevesqes	7	archevesque	1	archevesqe	1	arcevesqe	6	
desrubant	1	derrubans	1	
desver	24	dervez	6	dervé	4	
desverie	7	derverie	7	
esmerveillable	1	esmerveillable	1	
estorbeillon	1	estorbellons	1	
paroisse	2	parroce	1	


Les liquides
§55 rl passe à ll assimilation

r parasite ?
afaire1	1	aferes	1	
afaire2	15	afere	5	aferes	2	
afublëure	6	afubleüre	4	affubleüre	2	
aideor	3	aidieres	1	aidierres	2	
air2	1	eir	1	
aitre	2	atrie	2	
ajornee	1	ajorner	1	
alëure	3	aleüre	2	aleüres	1	
ame	39	arme	6	
amor	23	amour	2	
anacorite	6	anacorintes	3	enacorinthe	1	enacorinte	1	anacorinte	1	
aornement1	1	aornemenz	1	
apareillement	2	apareillemenz	1	
apostle	29	apostres	18	apostre	10	
arabois	1	araboi	1	
arbre	19	arbe	2	
arcediacne	12	arcediacre	3	arcediacres	4	arcedyacres	1	arcedyacre	2	archediacre	1	archediacres	1	
arceveschié	2	arcevesqié	2	
arcevesque	28	arcevesqes	13	archevesqes	7	archevesque	1	archevesqe	1	arcevesqe	6	
archiee	1	archie	1	
ardor	1	ardeur	1	
autorité	5	auctorité	5	
aversité	2	aversitez	1	adversitez	1	
baraigneté	1	berhaigneté	1	
barillet	1	barilliaus	1	
blecëure	3	bleceüre	2	blecheüre	1	
borc	2	bours	2	
brebiz	3	brebis	2	
carriere	1	qarrieres	1	
carïole	1	chariole	1	
ceinture	3	cheinture	2	
chaere	1	chaaire	1	
chaiere	2	chaere	2	
chalor	13	chaleur	11	chaleurs	2	
chardenal	1	chardonaus	1	
chargier	13	chargies	1	
charnel1	1	charneus	1	
chëoir	60	cheoir	1	
clarté	22	clartez	2	
clerc	31	clers	22	
clergié	3	clergiez	1	
color	1	couleurs	1	
conchiëure	1	conchieüre	1	
confessëor	10	confessors	4	confessor	5	confessorz	1	
confort	2	confors	1	
confrerie	3	confrarie	3	
congregacïon	1	congregation	1	
conseillëor	1	conseillieres	1	
conversacïon	6	conversation	6	
corbeil	5	corbeaus	4	corbiaus	1	
corbeillon	3	corbellon	3	
corner	1	cornes	1	
cors1	131	cours	2	
cors2	2	cours	1	
cort1	6	court	3	corz	1	
costé	2	costiere	1	
crestiien	31	crestiens	8	crestien	9	
croistre	9	cremor	1	
crole	1	crolles	1	
crote1	1	croute	1	
crëance	35	creance	33	creances	2	
crïator	2	crieres	1	Creatour	1	
crïature	24	creature	23	creatures	1	
crïee	4	criee	3	criees	1	
crüauté	11	cruiautés	1	cruauté	2	cruiauté	7	cruialté	1	
cuivre1	1	qoivre	1	
cyprès	1	cyprés	1	
defendëor	3	deffenderres	1	deffendierres	1	desfenderres	1	
desert2	14	deserz	5	
deserte2	1	desierte	1	
desesperance	1	desesper﻿ance	1	
desrubant	1	derrubans	1	
destruisëor	1	destruisieres	1	
desver	24	dervez	6	dervé	4	
desverie	7	derverie	7	
deversité	1	diversitez	1	
devorëor	1	devorrieres	1	
dolor	45	doleur	31	doleurs	5	
doloros	8	dolereuses	1	
donëor	1	veneor	1	
douçor	15	douçour	1	doçor	5	douceur	3	doceur	1	doceurs	1	
drap	15	dras	11	
däerrain	14	daerrein	1	
dïable	168	dyacres	2	
dïacne	4	dyacres	3	diacres	1	
ebrieu	8	ebreu	3	ebriu	1	
emperëor	74	empereors	4	empereor	35	empereres	27	empereror	1	emperere	1	em﻿pereor	3	em﻿pereres	3	
enfer	11	infer	11	
enfermeté1	23	enfermetez	10	enfertez	1	
eresie	1	erisie	1	
error1	5	erreur	2	erreurs	2	
escandle	1	escandres	1	
escriture	11	escriptures	1	escripture	1	Escriptures	1	
escroler	2	escrollemenz	1	
esfoudre	1	effoudre	1	
espart	2	esparz	1	
esperit	32	esperiz	4	Esperiz	2	
esperitos	1	esperitueus	1	
essemplaire2	1	exemplaire	1	
estorbeillon	1	estorbellons	1	
estraim	2	estrein	2	
fameliier	1	famuliers	1	
farine	1	ferine	1	
fauçart	3	fauchart	3	
fermëure	1	fermeüre	1	
flor1	1	fleurs	1	
forest	5	forés	1	forez	1	
forment	1	formenz	1	
fornaise	2	fornese	1	
franchise	1	francise	1	
frenge	1	frange	1	
fruit	7	fruis	2	
frëor	1	freor	1	
fublëure	3	asfubleüre	3	
fuerre2	6	fuere	1	
garantir	4	garantie	1	
garantise	2	garantisse	1	
garison	8	guerissons	1	garisson	2	guerisson	1	guerison	2	
governëor	5	governeres	5	
graignor	1	grignors	1	
grain	1	grein	1	
grandor	2	grandeur	2	
grec	3	greu	3	
gresil	3	gresiuz	3	
gré2	2	gre	1	grez	1	
guerredon	2	gueredon	1	
guerredonëor	1	guerredonieres	1	
haire	7	heires	2	heire	3	
idle	20	ydre	8	ydres	10	
ipocrisie	1	ycrisie	1	
iver2	3	yvier	1	yver	1	ivier	1	
jor	212	jour	9	iorz	1	
jugëor	3	jugieres	2	Jucheor	1	
ladre	1	lazere	1	
langor	2	languer	1	
langoros	3	languereus	2	
larme	4	lermes	3	
larron	4	leres	1	lerres	1	
lavëure	1	laveüres	1	
lepros	2	liepreus	1	
letre	9	lettres	7	
livre1	20	lievres	1	
loiier	5	loier	5	
lombart	3	Longuebarz	2	Longuebars	1	
luminaire	4	lumineres	1	
maistre	16	mestre	6	mestres	10	
malëuros	3	maleüreus	2	
mangier	77	mengier	1	
marchëandise	1	marcheandise	1	
marchëant	9	marcheant	3	marcheanz	5	marcheans	1	
martir	13	martyrs	6	martyr	5	
