"","LiSaintAlexis.txt","LiSaintJerome.txt","LiSaintDialogues.txt","LiSaintBenoit.txt","LiSaintBrice.txt","LiSaintGilles.txt","LiSaintNicolas.txt","LiSaintMartin.txt","LiSaintMarcel.txt"
"lorien",-0.0049,-0.0029,-0.0227,-0.0153,-0.0016,-0.0053,-0.025,-0.0182,-0.0183
"coroner",-0.1368,-0.0803,-0.2397,-0.4245,-0.0458,-0.1468,-0.6942,-0.5054,-0.5073
"forment",-0.0651,-0.0382,-0.2997,-0.202,-0.0218,-0.0699,0.2735,-0.2406,0.3701
"huchier1",0.8056,-0.0433,-0.34,1.0082,-0.0247,-0.0793,0.2379,-0.2729,-0.2739
"poser",-0.1067,-0.0626,-0.4911,-0.3311,-0.0357,-0.1145,-0.5415,-0.3942,-0.3957
"piler2",-0.0301,-0.0177,-0.1385,-0.0934,-0.0101,-0.0323,-0.1527,-0.1112,-0.1116
"iraine",-0.0016,-0.001,-0.0076,-0.0051,-5e-04,-0.0018,-0.0083,-0.0061,-0.0061
"botevil",-0.0011,-6e-04,-0.005,-0.0034,-4e-04,-0.0012,-0.0056,-0.004,-0.0041
"chascuer2",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"pastare1",-0.0011,-6e-04,-0.005,-0.0034,-4e-04,-0.0012,-0.0056,-0.004,-0.0041
"cul",-0.0208,-0.0122,-0.0957,-0.0645,-0.007,-0.0223,-0.1055,-0.0768,-0.0771
"escorchier",-0.0465,-0.0273,-0.2141,-0.1443,-0.0156,-0.0499,-0.236,-0.1718,-0.1725
"derrenier",-0.0361,-0.0212,-0.1662,-0.1121,-0.0121,-0.0388,-0.1833,-0.1334,-0.1339
"limagos",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"sabras",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"abeie",-0.1899,3.8404,12.3428,38.1818,-0.0635,5.0217,-0.208,-0.7015,-0.7041
"folir",-0.0027,-0.0016,-0.0126,-0.0085,-9e-04,-0.0029,-0.0139,-0.0101,-0.0101
"foutre",-0.0044,-0.0026,-0.0201,-0.0136,-0.0015,-0.0047,-0.0222,-0.0162,-0.0162
"renchëoir",-0.0044,-0.0026,-0.0201,-0.0136,-0.0015,-0.0047,-0.0222,-0.0162,1.4355
"troille",-0.0088,-0.0051,-0.0403,-0.0272,-0.0029,-0.0094,-0.0444,-0.0323,-0.0325
"baud",-0.0055,-0.0032,-0.0252,-0.017,-0.0018,-0.0059,-0.0278,-0.0202,-0.0203
"guel",-0.0159,-0.0093,-0.073,-0.0492,-0.0053,-0.017,-0.0805,-0.0586,-0.0588
"sengler",-0.0279,-0.0164,-0.1284,-0.0866,-0.0093,-0.03,-0.1416,-0.1031,-0.1035
"bouron",-0.0016,-0.001,-0.0076,-0.0051,-5e-04,-0.0018,-0.0083,-0.0061,-0.0061
"desnöer",-0.0038,-0.0022,-0.0176,-0.0119,-0.0013,-0.0041,-0.0194,-0.0142,-0.0142
